[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    234. exchange: NFO, tradingsymbol: NIFTY03NOV2624000PE, symboltoken: 54111
    235. exchange: NFO, tradingsymbol: NIFTY03NOV2624050CE, symboltoken: 54114
    236. exchange: NFO, tradingsymbol: NIFTY03NOV2624050PE, symboltoken: 54115
    237. exchange: NFO, tradingsymbol: NIFTY03NOV2624100CE, symboltoken: 54116
    238. exchange: NFO, tradingsymbol: NIFTY03NOV2624100PE, symboltoken: 54117
    239. exchange: NFO, tradingsymbol: NIFTY03NOV2624150CE, symboltoken: 54118
    240. exchange: NFO, tradingsymbol: NIFTY03NOV2624150PE, symboltoken: 54119
    241. exchange: NFO, tradingsymbol: NIFTY03NOV2624200CE, symboltoken: 54120
    242. exchange: NFO, tradingsymbol: NIFTY03NOV2624200PE, symboltoken: 54121
    243. exchange: NFO, tradingsymbol: NIFTY03NOV2624250CE, symboltoken: 54122
    244. exchange: NFO, tradingsymbol: NIFTY03NOV2624250PE, symboltoken: 54123
    245. exchange: NFO, tradingsymbol: NIFTY03NOV2624300CE, symboltoken: 54124
    246. exchange: NFO, tradingsymbol: NIFTY03NOV2624300PE, symboltoken: 54125
    247. exchange: NFO, tradingsymbol: NIFTY03NOV2624350CE, symboltoken: 54126
    248. exchange: NFO, tradingsymbol: NIFTY03NOV2624350PE, symboltoken: 54127
    249. exchange: NFO, tradingsymbol: NIFTY03NOV2624400CE, symboltoken: 54128
    250. exchange: NFO, tradingsymbol: NIFTY03NOV2624400PE, symboltoken: 54129
    251. exchange: NFO, tradingsymbol: NIFTY03NOV2624450CE, symboltoken: 54134
    252. exchange: NFO, tradingsymbol: NIFTY03NOV2624450PE, symboltoken: 54135
    253. exchange: NFO, tradingsymbol: NIFTY03NOV2624500CE, symboltoken: 54136
    254. exchange: NFO, tradingsymbol: NIFTY03NOV2624500PE, symboltoken: 54177
    255. exchange: NFO, tradingsymbol: NIFTY03NOV2624550CE, symboltoken: 54182
    256. exchange: NFO, tradingsymbol: NIFTY03NOV2624550PE, symboltoken: 54193
    257. exchange: NFO, tradingsymbol: NIFTY03NOV2624600CE, symboltoken: 54194
    258. exchange: NFO, tradingsymbol: NIFTY03NOV2624600PE, symboltoken: 54239
    259. exchange: NFO, tradingsymbol: NIFTY03NOV2624650CE, symboltoken: 54240
    260. exchange: NFO, tradingsymbol: NIFTY03NOV2624650PE, symboltoken: 54253
    261. exchange: NFO, tradingsymbol: NIFTY03NOV2624700CE, symboltoken: 54254
    262. exchange: NFO, tradingsymbol: NIFTY03NOV2624700PE, symboltoken: 54261
    263. exchange: NFO, tradingsymbol: NIFTY03NOV2624750CE, symboltoken: 54262
    264. exchange: NFO, tradingsymbol: NIFTY03NOV2624750PE, symboltoken: 54267
    265. exchange: NFO, tradingsymbol: NIFTY03NOV2624800CE, symboltoken: 54268
    266. exchange: NFO, tradingsymbol: NIFTY03NOV2624800PE, symboltoken: 54273
    267. exchange: NFO, tradingsymbol: NIFTY03NOV2624850CE, symboltoken: 54274
    268. exchange: NFO, tradingsymbol: NIFTY03NOV2624850PE, symboltoken: 54275
    269. exchange: NFO, tradingsymbol: NIFTY03NOV2624900CE, symboltoken: 54276
    270. exchange: NFO, tradingsymbol: NIFTY03NOV2624900PE, symboltoken: 54277
    271. exchange: NFO, tradingsymbol: NIFTY03NOV2624950CE, symboltoken: 54284
    272. exchange: NFO, tradingsymbol: NIFTY03NOV2624950PE, symboltoken: 54331
    273. exchange: NFO, tradingsymbol: NIFTY03NOV2625000CE, symboltoken: 54332
    274. exchange: NFO, tradingsymbol: NIFTY03NOV2625000PE, symboltoken: 54333
    275. exchange: NFO, tradingsymbol: NIFTY03NOV2625050CE, symboltoken: 54334
    276. exchange: NFO, tradingsymbol: NIFTY03NOV2625050PE, symboltoken: 54375
    277. exchange: NFO, tradingsymbol: NIFTY03NOV2625100CE, symboltoken: 54378
    278. exchange: NFO, tradingsymbol: NIFTY03NOV2625100PE, symboltoken: 54443
    279. exchange: NFO, tradingsymbol: NIFTY03NOV2625150CE, symboltoken: 54444
    280. exchange: NFO, tradingsymbol: NIFTY03NOV2625150PE, symboltoken: 54449
